Date,Transaction Type,Amount,Current Balance
"05/02/2023, 09:56:57",Account Created,400€,400€
"05/02/2023, 10:00:29",Money Deposit,900,1300
"05/02/2023, 11:02:50",Money Deposit,200,1500
"05/02/2023, 11:02:51",Money Deposit,200,1500
"05/02/2023, 11:02:52",Money Deposit,200,1700
"05/02/2023, 11:02:54",Money Deposit,200,1700
"05/02/2023, 11:02:55",Money Deposit,200,1900
"05/02/2023, 11:02:56",Money Deposit,200,1900
"05/02/2023, 11:02:58",Money Withdraw,100,1800
"05/02/2023, 11:03:00",Money Withdraw,100,1800
"05/02/2023, 11:03:00",Money Withdraw,100,1700
"05/02/2023, 11:03:01",Money Withdraw,100,1700
"05/02/2023, 11:03:02",Money Withdraw,100,1600
"05/02/2023, 11:03:07",Money Withdraw,600,1100
"05/02/2023, 11:03:07",Money Withdraw,600,1000
"05/02/2023, 11:03:09",Money Withdraw,600,500
"05/02/2023, 11:03:14",Money Withdraw,600,400
"05/02/2023, 11:03:17",Money Deposit,600,1100
